"scientific_name","midpoint_cc","releveCode"
"Ambrosia artemisiifolia",3,"SOUTHERN DRY SAVANNA, DRY SAND-GRAVEL OAK SAVANNA (SOUTHERN) TYPE"
"Ambrosia artemisiifolia",2,"SOUTHERN MESIC PRAIRIE"
"Ambrosia artemisiifolia",3,"SOUTHERN WET PRAIRIE"
"Ambrosia psilostachya",10,"Dry Barrens Oak Savanna (Southern)    UPs14a"
"Ambrosia psilostachya",8,"Dry Barrens Prairie Southern"
"Ambrosia psilostachya",7,"Dry Sand Gravel Prairie Southern"
"Ambrosia psilostachya",38,"SOUTHERN DRY PRAIRIE, DRY BEDROCK BLUFF PRAIRIE (SOUTHERN) TYPE"
"Ambrosia psilostachya",4,"SOUTHERN DRY SAVANNA, DRY SAND-GRAVEL OAK SAVANNA (SOUTHERN) TYPE"
"Ambrosia psilostachya",8,"SOUTHERN MESIC PRAIRIE"
"Ambrosia trifida",4,"SOUTHERN SEEPAGE MEADOW/CARR"
"Ambrosia trifida",5,"SOUTHERN WET PRAIRIE"
"Amelanchier cmx.",3,"CENTRAL MESIC HARDWOOD FOREST (EASTERN)"
"Amelanchier cmx.",3,"Dry Barrens Oak Savanna (Southern)    UPs14a"
"Amelanchier cmx.",3,"Dry Barrens Prairie Southern"
"Amelanchier cmx.",1,"SOUTHERN DRY SAVANNA, DRY SAND-GRAVEL OAK SAVANNA (SOUTHERN) TYPE"
"Amelanchier cmx.",3,"SOUTHERN MESIC OAK-BASSWOOD FOREST"
"Amelanchier cmx.",2,"SOUTHERN RICH CONIFER SWAMP"
"Amelanchier laevis",3,"Dry Barrens Oak Savanna (Southern)    UPs14a"
"Amorpha canescens",6,"Dry Barrens Oak Savanna (Southern)    UPs14a"
"Amorpha canescens",2,"Dry Barrens Prairie Southern"
"Amorpha canescens",4,"Dry Sand Gravel Prairie Southern"
"Amorpha canescens",5,"SOUTHERN DRY PRAIRIE, DRY BEDROCK BLUFF PRAIRIE (SOUTHERN) TYPE"
"Amorpha canescens",3,"SOUTHERN DRY SAVANNA, DRY SAND-GRAVEL OAK SAVANNA (SOUTHERN) TYPE"
"Amorpha canescens",10,"SOUTHERN MESIC PRAIRIE"
"Amorpha fruticosa",3,"SOUTHERN SEEPAGE MEADOW/CARR"
"Amorpha nana",1,"SOUTHERN MESIC PRAIRIE"
"Amphicarpaea bracteata",5,"CENTRAL MESIC HARDWOOD FOREST (EASTERN)"
"Amphicarpaea bracteata",3,"Dry Barrens Oak Savanna (Southern)    UPs14a"
"Amphicarpaea bracteata",21,"SOUTHERN DRY SAVANNA, DRY SAND-GRAVEL OAK SAVANNA (SOUTHERN) TYPE"
"Amphicarpaea bracteata",4,"SOUTHERN DRY-MESIC OAK FOREST"
"Amphicarpaea bracteata",3,"SOUTHERN MESIC MAPLE-BASSWOOD FOREST"
