"","scientific_name","midpoint_cc","releveSite","releveyear"
"1","Acalypha rhomboidea",3,"MRPRCPL2",2022
"2","Acer ginnala",0.5,"LHHL1",2022
"3","Acer ginnala",0.5,"LHHL2",2022
"4","Acer ginnala",3,"LHPP1",2022
"5","Acer ginnala",0.5,"LHPP2",2022
"6","Acer ginnala",3,"LHSP1.1",2022
"7","Acer ginnala",0.5,"WWIMR",2022
"8","Acer ginnala",0.5,"WWRP4",2022
"9","Acer ginnala",0.5,"WWRP5",2022
"10","Acer negundo",3,"LBRP1",2022
"11","Acer negundo",0.5,"LBRP7",2022
"12","Acer negundo",37.5,"LHDL1",2022
"13","Acer negundo",37.5,"LHHL2",2022
"14","Acer negundo",15,"LHHL3",2022
"15","Acer negundo",15,"LHHL4",2022
"16","Acer negundo",0.5,"LHHL5",2022
"17","Acer negundo",0.5,"LHSP1.1",2022
"18","Acer negundo",0.5,"MRPRHT",2022
"19","Acer negundo",3,"SCPCA2",2022
"20","Acer negundo",37.5,"SCPCA3",2022
"21","Acer negundo",3,"SLBR.E",2022
"22","Acer negundo",3,"WWRP2",2022
"23","Acer negundo",0.5,"WWRP4",2022
"24","Acer negundo",15,"WWRP5",2022
"25","Acer negundo",15,"WWRPWL",2022
"26","Acer rubrum",0.5,"LHHL1",2022
"27","Acer saccharinum",0.5,"LHHL5",2022
"28","Achillea millefolium",3,"LBRP8",2022
"29","Achillea millefolium",3,"LHDL6",2022
"30","Achillea millefolium",3,"LHPP1",2022
"31","Achillea millefolium",3,"LHPP2",2022
"32","Achillea millefolium",3,"LHRPPR1",2022
"33","Achillea millefolium",3,"MRPRHT",2022
"34","Achillea millefolium",3,"SLBR.W",2022
"35","Achillea millefolium",3,"WWBW",2022
"36","Achillea millefolium",3,"WWIMR",2022
"37","Achillea millefolium",3,"WWRP2",2022
"38","Achillea millefolium",3,"WWRP3",2022
"39","Actaea rubra",3,"LBRP7",2022
"40","Actaea rubra",3,"LHDL1",2022
"41","Actaea rubra",3,"LHDL6",2022
"42","Actaea rubra",0.5,"LHHL1",2022
"43","Actaea rubra",3,"LHHL2",2022
"44","Actaea rubra",3,"LHHL4",2022
"45","Actaea rubra",0.5,"LHSP1.1",2022
"46","Actaea rubra",0.5,"MRPRCPL2",2022
"47","Actaea rubra",0.5,"WWRPWL",2022
"48","Agalinis tenuifolia",0.5,"WWRP1",2022
"49","Agastache foeniculum",15,"WWRP2",2022
"50","Agastache foeniculum",0.5,"WWRP3",2022
"51","Ageratina altissima",3,"LBRP7",2022
"52","Ageratina altissima",3,"LHDL1",2022
"53","Ageratina altissima",3,"LHDL2.2Sep",2022
"54","Ageratina altissima",3,"LHDL6",2022
"55","Ageratina altissima",3,"LHHL1",2022
"56","Ageratina altissima",3,"LHHL2",2022
"57","Ageratina altissima",0.5,"LHPP2",2022
"58","Ageratina altissima",3,"LHSP1.1",2022
"59","Ageratina altissima",0.5,"LHWR",2022
"60","Ageratina altissima",15,"MRPRCPL2",2022
"61","Ageratina altissima",0.5,"MRPRHT",2022
"62","Ageratina altissima",3,"SLBR",2022
"63","Ageratina altissima",3,"SLBR.W",2022
"64","Ageratina altissima",3,"WWRP5",2022
"65","Agrimonia pubescens",3,"LHDL1",2022
"66","Agrimonia sp.",3,"SLBR",2022
"67","Agrimonia striata",3,"LHSP1.1",2022
"68","Agrimonia striata",0.5,"MRPRCPL2",2022
"69","Agrimonia striata",0.5,"WWIMR",2022
"70","Agrostis gigantea",3,"MRPRCPL19.1",2022
"71","Agrostis gigantea",3,"MRPRHT",2022
"72","Agrostis gigantea",3,"WWBW",2022
"73","Alliaria petiolata",3,"LBRP7",2022
"74","Alliaria petiolata",3,"LHDL1",2022
"75","Alliaria petiolata",3,"LHHL2",2022
"76","Alliaria petiolata",15,"SCPCA3",2022
"77","Alnus incana",62.5,"LHTS1",2022
