"","scientific_name","midpoint_cc","releveSite","releveyear"
"1","Abutilon theophrasti",0.5,"MRPR TB Rel 2",2025
"2","Acalypha rhomboidea",3,"LBRP Rel 6",2025
"3","Acalypha rhomboidea",3,"LBRP Rel 7",2025
"4","Acalypha rhomboidea",3,"LHDL rel 1-5",2025
"5","Acalypha rhomboidea",3,"SLPR bluff remnant releve",2025
"6","Acer ginnala",3,"LHHL1 Rel",2025
"7","Acer ginnala",0.5,"LHHL2 Rel",2025
"8","Acer ginnala",0.5,"LHHL3 Rel",2025
"9","Acer ginnala",0.5,"LHPP rel 1",2025
"10","Acer ginnala",3,"SLPR bluff remnant releve",2025
"11","Acer negundo",15,"LBRP Rel 6",2025
"12","Acer negundo",15,"LHDL rel 1-5",2025
"13","Acer negundo",3,"LHDL rel 2-1",2025
"14","Acer negundo",15,"LHHL2 Rel",2025
"15","Acer negundo",15,"LHHL3 Rel",2025
"16","Acer negundo",0.5,"LHHL4 Rel",2025
"17","Acer negundo",3,"LHHL5 Rel",2025
"18","Acer negundo",3,"LHRP Prairie Releve1",2025
"19","Acer negundo",3,"LHSP Rel 1-1",2025
"20","Acer negundo",3,"MRPR TB Rel 2",2025
"21","Acer negundo",0.5,"SLCW Releve 1",2025
"22","Acer negundo",15,"SLCW Releve 2",2025
"23","Acer negundo",3,"SLPR East Range Rel",2025
"24","Acer negundo",3,"South Creek Releve 2",2025
"25","Acer negundo",15,"South Creek Releve 3",2025
"26","Acer negundo",3,"WWRP RCG unit 5 rel",2025
"27","Acer negundo",3,"WWRP WL Rel",2025
"28","Acer rubrum",0.5,"LHSP Rel 1-1",2025
"29","Acer saccharinum",15,"LBRP Rel 6",2025
"30","Acer saccharum",15,"SLCW Releve 1",2025
"31","Achillea millefolium",0.5,"LHHL1 Rel",2025
"32","Achillea millefolium",3,"LHPP rel 1",2025
"33","Achillea millefolium",3,"LHPP rel 2",2025
"34","Achillea millefolium",3,"LHRP Prairie Releve1",2025
"35","Achillea millefolium",3,"SLPR West Range Rel",2025
"36","Achillea millefolium",3,"SLPR bluff remnant releve",2025
