RowLabels,Group
LHDL22016,F
LHDL22018,F
LHDL32016,F
LHDL32018,F
LHDL42016,F
LHDL42018,F
LHJL2015,F
LHJL2016,F
LHJL2017,F
LHJL2018,F
LHPP12017,P
LHPP12018,P
LHPP22017,P
LHPP22018,P
LHPR12016,P
LHPR12017,P
LHRB2016,P
LHRB2017,P
MRPB2017,P
MRPB2018,P
MRPR12016a,P
MRPR12016b,P
MRPR12018,P
MRPR22016,F
MRPR22017,F
MRPR22018,F
MRPR32016,F
MRPR32018,F
SLPR12016,F
SLPR12018,F
SLPR22016,F
SLPR22018,F
WWBW2017,W
WWBW2018,W
WWRP2015,F
WWRP2016,F
WWRP2017,F
WWRP2018,F
